dataset ID,text ID,text,class,groundtruth explanation,alpaca_zsl,alpaca_fsl,alpaca_kg,flan_t5_zsl,flan_t5_fsl,flan_t5_kg,mt0_zsl,mt0_fsl,mt0_kg,llama_zsl,llama_ft,llama_kg_ft
HX,1238102962116927490_twitter,<user> nazis are so stupid they don ’ t realize the symbol they took for them was actually a symbol of buddhism,neutral,The text does not contain abusive language.,"the nazis are so stupid that they don't realize that the symbol they took for them was actually a symbol of buddhism. this is because the symbol is a symbol of the buddha, which is a spiritual leader who is ",the nazis are so stupid that they don't realize that the symbol they took for them was actually a symbol of buddhism.,"the nazis are so stupid that they don't realize that the symbol they took for them was actually a symbol of buddhism. this is because the symbol is a symbol of the buddha, which is a spiritual leader who is ",the symbol that the nazis took for them was actually a symbol of buddhism.,it contains the following hateful words: nazis are stupid.,the symbol that the nazis took for them was actually a symbol of buddhism.,a = 'hateful' a = 'hateful' a = 'hateful' a = 'hateful' a = 'hateful' a =,a = 'holocaust' a = 'holocaust' a = 'holocaust' a = 'holocaust' a = 'holocaust' a =,a = 'hateful' a = 'hateful' a = 'hateful' a = 'hateful' a = 'hateful' a =,"the word ""hateful"" in your sentence refers to the word ""nazis"". nazis were a group of people who hated jews and other minorities. they were also known as white supremacists because they believed that whites",Explanation: The text does not contain abusive language..,Explanation: The text does not contain abusive language..
HX,15236372_gab,you can sleep safe at night knowing these wonderful ladies at nato are defending you from moslem terrorist,hate_speech,It contains the following hateful words: moslem terrorist ,"the fact that these wonderful ladies at nato are defending you from a moslem terrorist is a testament to the strength of the alliance. they are able to protect us from a variety of threats, from terrorism to","the nato ladies are defending us from a moslem terrorist, who is a threat to our freedom and security. they are defending us from a threat that is not only a threat to our freedom","the nato ladies are a great source of comfort and support. they are a great source of comfort and support, and they are always willing to help those in need. they are also a great source of comfort and support",the nato women are a very good example of the nato women.,the nato defenders are a group of women and men who are defending the world from a moslem terrorist.,the nato armed forces are a group of armed forces that are based in the middle east. they are a group of armed forces that are based in the middle east.,a summary of the instruction.,a = input_text() a = input_text() a = input_text() a = input_text() a = input_text() a = input_text() ,a very good female nurse at nato is a wonderful ladies at nato.,"the word ""hateful"" in this sentence refers to the word ""moslem"". moslems are muslims and they are not hateful people.",Explanation: It contains the following hateful words: moslem terrorist .,Explanation: The text does not contain abusive language..
IH,590199608523038723,maybe wanted cover muslim girls liquid concrete justsaying,neutral,The text does not contain abusive language.,"the text is not hateful because it is expressing a desire to cover muslim girls. it is expressing a desire to be a part of a larger community, and it is expressing a desire to be","i am not a muslim, but i am a christian. i am a christian, and i am a muslim. i am a christian, and i am a muslim. i am a christian, and i am","the religious faith of islamperchance wants to cover muslims with a blanket mask, which is a form of masking. this is because muslims are a group of people who are not able to afford to cover themselves with ",the muslim girls are not a good match for the muslim girls.,"i'm not a muslim, but i'm a christian. i'm a christian. i'm a christian. i'm a christian. i'm a christian. i'm a",muslims believe that a person who is a muslim is a muslim. muslims believe that a muslim is a christian. muslims believe that a muslim is a christian.,maybe wanted cover muslim girls liquid concrete justsaying.,r called business way savage debatenight.,maybe wanted cover muslim girls liquid concrete justsaying.,the input text is hateful because it contains hate speech and discriminatory language.,Explanation: Muslims are violent,Explanation: The text does not contain abusive language.
IH,488605208469991424,israel-gaza conflict israeli knock roofmissile warning revealed remarkable video,neutral,The text does not contain abusive language.,"the video showed that the israeli team was able to successfully knock down a roofmissile during the israeli-gaza conflict, despite the fact that the israeli team had been unable to reach the target","the video showed a dramatic shift in the israeli-gaza conflict, with the israeli launching a retaliatory attack on the gaza strip. the israeli reportedly blew up the roof","the israeli-gaza conflict has been a major source of tension for the citizens and nationals of israel. the conflict has been a source of tension for the citizens and nationals of israel, as the conflict has been ",israel has been a major player in the gaza strip since the mid-1990s.,israel has been a major player in the gaza strip since the start of the conflict. the israelis have been a major player in the gaza strip since the start of the conflict.,israel has been a major ally of the palestinian authority since the mid-1990s.,a warning revealed remarkable video.,a r called business way savage debatenight.,a warning revealed remarkable video.,"the word ""israel"" in the sentence refers to israel, which is a country located in the middle east. the word ""conflict"" in the sentence refers to a disagreement or argument between two people or groups of people.",Explanation: The text does not contain abusive language.,Explanation: The text does not contain abusive language.
HX,1179025513970577408_twitter,first mental breakdown of the year i fucking hate school,neutral,The text does not contain abusive language.,"i am a bit of a skeptic, but i'm not sure why i'm feeling this way. i'm not sure why i'm feeling this way, but i'm sure i'm not","the first mental breakdown of the year is a sign of a lack of self-confidence and self-discipline. it is a sign of a lack of self-confidence and self-discipline, which","i am a student at a school that is a bit of a bully. i am a student who is a bit of a bully, and i am a bit of a bully. i",i hate school. i hate school. i hate school. i hate school. i hate school. i hate school. i hate school. i hate school. i hate school. i hate school. i hate school. i hate school. i,it contains the following hateful words: i hate school.,the school has a strict policy of not allowing students to have any mental breakdowns.,a sentence written by a teacher explains why.,i hate school because it contains the following hateful words: kike shills.,i hate school.,i hate school because it's boring and pointless.,Explanation: The text does not contain abusive language..,Explanation: The text does not contain abusive language..
HX,24356157_gab,developers buying houses and dwelling buildings and leaving them unoccupied to make the neighborhood appear abandoned – like a ghetto or a slum such practices can be described as psychological manipulation that usually frightened the remaining white residents into selling at a loss,neutral,The text does not contain abusive language.,"the developers often use psychological manipulation to manipulate the community to make it appear abandoned, which can lead to a decrease in the quality of life for the remaining white residents.",the developers buying houses and dwelling buildings and leaving them unoccupied to make the neighborhood appear abandoned are psychological manipulations that often frightened the remaining white residents into selling at a loss.,"the developers are often portrayed as a solitary figure, unable to provide any emotional support or emotional support. this can lead to a sense of isolation and dissatisfaction with the community, which can lead to ","the ghetto is a slum, and the ghetto is a slum. the ghetto is a slum, and the ghetto is","the ghetto is a slum, and the ghetto is a slum. the ghetto is a slum, and the ghetto is","the ghetto is a slum, and the ghetto is a slum.",developers buying houses and dwelling buildings and leaving them unoccupied to make the neighborhood appear abandoned,a sentence explaining why.,developers buying houses and dwelling buildings and leaving them unoccupied to make the neighborhood appear abandoned.,the practice of developers buying houses and dwelling buildings and leaving them unoccupied to make the neighborhood appear abandoned – like a ghetto or a slum such practices can be described as psychological manipulation that usually frightened the remaining,Explanation: It contains the following hateful words: such practices can be described as psychological manipulation that,Explanation: The text does not contain abusive language..
HX,1143852094220193792_twitter,shes homophobic and transphobic and really rude,neutral,The text does not contain abusive language.,"the text is homophobic and transphobic because it is a violation of the rights of others. it is also a violation of the rights of others, such as the right to privacy and the right to freedom of speech.","the text contains the hateful words ""hateful"" and ""hateful"" because it is a statement that is not a statement of intent.","the text is homophobic and transphobic because it is a violation of the rights of others. it is also a violation of the rights of others, such as the right to privacy and the right to freedom of speech.",she is a homophobic and transphobic person.,it contains the following hateful words: homophobic and transphobic and really rude.,she is a homophobic and transphobic person.,"a sentence written by a woman describes a task, paired with input text.",a = input() a = input() a = input() a = input() a = input() a = input() a = input() a = input() ,........................ ,she's hateful because she's homophobic and transphobic and really rude.,Explanation: The text does not contain abusive language..,Explanation: The text does not contain abusive language..
IH,737849525004423040,jobs already import peasants diseased minds bodies disdain us,implicit_hate,It implies the following hateful statement: Immigrants are stupid,"the job market is a major source of frustration and disdain for many people. it is a source of economic inequality, as people are unable to afford the necessary resources to maintain their own lives. this can lead to ",the job market is a major source of frustration and frustration for many people. it is a major source of economic inequality and a source of economic inequality.,"the job market is a major source of frustration and disdain for many people. it is a source of economic inequality, as people are unable to afford the necessary resources to maintain their own lives. this can lead to ",the jobs that are being imported are not the jobs that are being squandered.,"the jobs that are being created are not only for the poor, but for the poor.",the savagery of the peasants is a symptom of the diseased mind and body.,a job already import peasants diseased minds bodies disdain us.,rt called business way savage debatenight.,"a dictionary describes a task, paired with input text.","the word ""us"" in this sentence refers to the people who are being described as hateful. this means that the sentence is not describing the job itself, but rather the people who do it. therefore, the sentence does not describe the",Explanation: it contains the following hateful implied statement: Immigrants are not worthy of jobs.,Explanation: it contains the following hateful implied statement: Immigrants are diseased
IH,840609684314849280,would interesting project join party shoot small pistol one one fun,explicit_hate,It implies the following hateful statement: Immigrants are criminals,i would like to join a fun project that would involve shooting small pistols at a party. i would also like to get to know the other participants and make sure that i have a good time.,i would like to join the party and have a fun time.,"i am not a hateful person, but i am a great person who loves to do something fun and to have fun. i am a great person who loves to do something that is fun and to have fun.",shooting small pistols is a fun way to get people to participate in a fun project.,i'm a little snobby about this project. i'm a little snobby about this project. i'm a little snobby about this project. i,the project is a fun way to get people to participate in a fun activity.,would interesting project join party shoot small pistol one one fun.,rt called business way savage debatenight.,would interesting project join party shoot small pistol one one fun.,"the input text is hateful because it contains the word ""shoot"".",Explanation: The text does not contain abusive language.,Explanation: Immigrants are criminals
HX,1179073367057547269_twitter,<user> dis nigga called us coons and niggers with a er am i missing something lmao,neutral,The text does not contain abusive language.,the text is a hateful expression because it implies that the speaker is a coon or a nigger. it implies that the speaker is a slur and is not a good listener.,"the text contains the hateful words ""coons and niggers"" and ""is missing something"".",the text is a hateful expression because it implies that the speaker is a slur and is not able to express their feelings. it is also a violation of the rights of the speaker and their family.,"the slang for ""dis nigga"" is ""dis nigga"" or ""dis nigga"" or ""dis nigga"" or ""dis nigga""",it contains the following hateful words: user> user> user> user> user> user> user> user> user> user>,the slang is a slang term for a group of people who are a sex group.,a = input_text() a = input_text() a = input_text() a = input_text() a = input_text() a = input_text() ,a = input_text() a = input_text() a = input_text() a = input_text() a = input_text() a = input_text() ,a = input_text() a = input_text() a = input_text() a = input_text() a = input_text() a = input_text() ,"the word ""coon"" is a derogatory term for african americans.",Explanation: It contains the following hateful words: coons and niggers .,Explanation: The text does not contain abusive language..
HX,12294779_gab,gay vs moslem,neutral,The text does not contain abusive language.,"gay people are more likely to be a part of the lgbtq+ community than moslems. they are more likely to be a part of the lgbtq+ community, as they are more likely to be a part of the",the main difference between gay and moslem is that gay people are more likely to be able to express themselves in a more positive way than moslem people. this is because a person's sexual orientation and gender,the homophile muslim is a religious group that is characterized by a sense of humour and a sense of awe. it is a religious group that is characterized by a sense of ,the difference between gay and moslem is that homosexuals are more likely to be gay than non-gays.,it is a very difficult issue to answer.,"the moslems are a group of people who are homosexual, and are a part of the same religion.",a = input_text() a = input_text() a = input_text() a = input_text() a = input_text() a = input_text() ,a = input() a = input() a = input() a = input() a = input() a = input() a = input() a = input() ,"a dictionary of homosexuals describes a task, paired with input text.","the word ""gay"" is not hateful because it does not refer to any particular group of people.",Explanation: The text does not contain abusive language..,Explanation: The text does not contain abusive language..
